,type,name,code,district,branch_name,date,ward,local_level,Name_Of_Palika_English,X,Y
5899,Commercial Bank (Class A),NIC ASIA Bank Limited,11012622,Kathmandu,"Kathmandu Metropolitan City, Ward No. 29,Dillibazar",2022-03-10,29,kathmandu,kathmandu,85.312068,27.698732
5900,Commercial Bank (Class A),NIC ASIA Bank Limited,11012623,Kathmandu,"Kathmandu Metropolitan City, Ward No. 18, Naradevi",2022-03-14,18,kathmandu,kathmandu,85.312068,27.698732
5901,Commercial Bank (Class A),NIC ASIA Bank Limited,11012624,Kathmandu,"Kathmandu Metropolitan City, Ward No. 21, Jyabahal",2022-03-14,21,kathmandu,kathmandu,85.312068,27.698732
5902,Commercial Bank (Class A),NIC ASIA Bank Limited,11012625,Kathmandu,"Kathmandu Metropolitan City, Ward No. 23, Ombahal",2022-03-14,23,kathmandu,kathmandu,85.312068,27.698732
5903,Commercial Bank (Class A),NIC ASIA Bank Limited,11012626,Kathmandu,"Kathmandu Metropolitan City, Ward No. 25, Masang Galli",2022-03-14,25,kathmandu,kathmandu,85.312068,27.698732
5904,Commercial Bank (Class A),NIC ASIA Bank Limited,11012627,Kathmandu,"Kathmandu Metropolitan City, Ward No. 05, Haadigaun",2022-03-21,5,kathmandu,kathmandu,85.312068,27.698732
5905,Commercial Bank (Class A),NIC ASIA Bank Limited,11012628,Kathmandu,"Kathmandu Metropolitan City, Ward No. 30, Gyaneshwor",2022-03-21,30,kathmandu,kathmandu,85.312068,27.698732
5906,Commercial Bank (Class A),Global IME Bank Limited,11019371,Kathmandu,Kapan Branch,2020-08-12,10,budhanilkhantha,budhanilkhantha,85.348804,27.755046
5907,Commercial Bank (Class A),Global IME Bank Limited,11019373,Parbat,Kushma-Extension Counter ,2020-08-26,5,kushma,kushma,83.678742,28.220288
5908,Commercial Bank (Class A),Global IME Bank Limited,11019374,Baglung,"Balewa Branch, Baglung ",2022-03-21,14,baglung,baglung,83.5941,28.269887
5909,Commercial Bank (Class A),Global IME Bank Limited,11019375,Kathmandu,Shantinagar Branch,2020-10-21,31,kathmandu,kathmandu,85.312068,27.698732
5910,Commercial Bank (Class A),Global IME Bank Limited,11019376,Kathmandu,Tokha Branch,2020-10-21,6,tokha,tokha,85.32698,27.74533
5911,Commercial Bank (Class A),Global IME Bank Limited,11019377,Bhaktapur,Gamchha Extension Counter,2020-10-21,4,suryabinayak,suryabinayak,85.402867,27.667326
5912,Commercial Bank (Class A),Global IME Bank Limited,11019378,Chitawan,Saptagandaki College Extension Counter,2020-10-21,10,bharatpur,bharatpur,84.428535,27.689185
5913,Commercial Bank (Class A),Global IME Bank Limited,11019379,Lamjung,Beshisahar extension counter,2020-08-17,11,bensi shahar,bensi shahar,84.38139,28.22399
5914,Commercial Bank (Class A),Global IME Bank Limited,11019380,Bajhang,Bajhang Branch,2020-11-09,10,jayaprithbi,jayaprithbi,81.199188,29.551271
5915,Commercial Bank (Class A),Global IME Bank Limited,11019381,Tanahu,Dulegauda Branch,2020-11-19,4,shuklagandaki,shuklagandaki,84.074781,28.050786
5916,Microfinance Institutions (Class D),Meromicrofinance Laghubitta Bittiya Sanatha Ltd.,14033148,Morang,DURGAPURI BRANCH,2021-09-17,8,urlabari,urlabari,87.6244013,26.6641041
5917,Microfinance Institutions (Class D),Meromicrofinance Laghubitta Bittiya Sanatha Ltd.,14033149,Jhapa,HALDIBARI BRANCH,2021-09-17,3,haldibari,haldibari,87.9976079,26.5378341
