,type,name,code,district,branch_name,date,ward,local_level,Name_Of_Palika_English,X,Y
5741,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064013,Rupandehi,Lumbini Branch,2018-07-22,6,lumbini sanskritik,lumbini sanskritik,83.274339,27.48246
5742,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064014,Gulmi,Tamghas Branch,2018-07-22,2,resunga,resunga,83.2393845,28.0698053
5743,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064015,Kapilbastu,Khairendrapur Branch,2018-08-08,4,shivaraj,shivaraj,82.867259,27.64835
5744,Microfinance Institutions (Class D),Naya Sarathi Laghubitta Bittiya Sanstha Limited,14061001,Kavrepalanchok,Head Office,2017-09-17,3,dhulikhel,dhulikhel,85.556965,27.615401
5745,Commercial Bank (Class A),NIC ASIA Bank Limited,11012600,Kathmandu,"Kathmandu Metropolitan City, Ward No. 10, New Baneshwor",2022-02-18,10,kathmandu,kathmandu,85.312068,27.698732
5746,Commercial Bank (Class A),NIC ASIA Bank Limited,11012601,Kathmandu,"Kathmandu Metropolitan City, Ward No. 6, Boudha",2022-02-21,6,kathmandu,kathmandu,85.312068,27.698732
5747,Commercial Bank (Class A),NIC ASIA Bank Limited,11012602,Kathmandu,"Kathmandu Metropolitan City, Ward No. 4, Baluwatar",2022-02-21,4,kathmandu,kathmandu,85.312068,27.698732
5748,Commercial Bank (Class A),NIC ASIA Bank Limited,11012603,Kathmandu,"Kathmandu Metropolitan City, Ward No. 26, Thamel",2022-02-21,26,kathmandu,kathmandu,85.312068,27.698732
5749,Commercial Bank (Class A),NIC ASIA Bank Limited,11012604,Kathmandu,"Kathmandu Metropolitan City, Ward No. 1, Naxal",2022-03-04,1,kathmandu,kathmandu,85.312068,27.698732
5750,Commercial Bank (Class A),NIC ASIA Bank Limited,11012605,Kathmandu,"Kathmandu Metropolitan City, Ward No. 13, Kalimati",2022-03-04,13,kathmandu,kathmandu,85.312068,27.698732
5751,Commercial Bank (Class A),NIC ASIA Bank Limited,11012606,Kathmandu,"Kathmandu Metropolitan City, Ward No. 14, Kalanki",2022-03-04,14,kathmandu,kathmandu,85.312068,27.698732
